2025-09-30 19:27:13,357 | INFO | app.events.redis_event | Subscribe to channel: ['event.agent.progress.user:*', 'event.agent.success.user:*', 'event.agent.failure.user:*']
2025-09-30 19:27:13,364 | INFO | main | Redis event bus started
2025-09-30 19:29:10,622 | INFO | main | Redis event bus stopped
2025-09-30 19:29:36,484 | INFO | app.events.redis_event | Subscribe event type event.agent.progress
2025-09-30 19:29:36,485 | INFO | app.events.redis_event | Subscribe event type event.agent.success
2025-09-30 19:29:36,485 | INFO | app.events.redis_event | Subscribe event type event.agent.failure
2025-09-30 19:29:52,309 | INFO | app.events.redis_event | Subscribe to channel: ['event.agent.progress.user:*', 'event.agent.success.user:*', 'event.agent.failure.user:*']
2025-09-30 19:29:52,311 | INFO | main | Redis event bus started
2025-09-30 19:30:18,657 | INFO | app.tasks.test_task | Task Execution: user_id 1
2025-09-30 19:30:18,674 | INFO | app.tasks.test_task | Creating Customer Service Agent for user 1
2025-09-30 19:30:18,694 | INFO | app.utils.event_utils | Published event.agent.progress event for agent 2 for user 1
2025-09-30 19:30:19,221 | INFO | app.events.redis_event | Sending the message to handler function
2025-09-30 19:30:19,227 | INFO | app.events.redis_event | The handler function accepted the message: event type EventType.AGENT_CREATION_PROGRESS
2025-09-30 19:30:19,208 | INFO | app.events.redis_event | User with id 1 published to channel event.agent.progress.user:1
2025-09-30 19:30:19,508 | INFO | app.tasks.test_task | Agent data: name='Customer Support Bot' avatar=None model='gpt-4o' description=None base_prompt='You are a helpful customer service agent' tone='friendly' short_term_memory=False long_term_memory=False status='active' company_name='PT. lord suroso' industry='Teknologi AI' company_description='tidak ada' address='jln.kwitang no 4, Jakarta Pusat' email='suroso@gmail.com' website=None fallback_email='siti@gmail.com'
2025-09-30 19:30:19,819 | INFO | app.tasks.test_task | New agent: <Agent name=Customer Support Bot user_id=1>
2025-09-30 19:30:20,068 | INFO | app.utils.event_utils | Published event.agent.progress event for agent 2 for user 1
2025-09-30 19:30:20,083 | INFO | app.events.redis_event | Sending the message to handler function
2025-09-30 19:30:20,086 | INFO | app.events.redis_event | The handler function accepted the message: event type EventType.AGENT_CREATION_PROGRESS
2025-09-30 19:30:20,245 | INFO | app.events.redis_event | User with id 1 published to channel event.agent.progress.user:1
2025-09-30 19:30:20,260 | INFO | app.utils.event_utils | Published event.agent.progress event for agent 2 for user 1
2025-09-30 19:30:20,274 | INFO | app.events.redis_event | User with id 1 published to channel event.agent.progress.user:1
